label,GDP Per Capita
2021,10636.1201956183
2020,8496.42414176374
2019,9963.6725062053
2018,11795.1593866287
2017,14613.041824658
2016,12790.2424732447
2015,13789.060424772
2014,12334.7982453893
2013,13080.2547323367
2012,13082.664325572
2011,12848.8641969705
2010,10385.9644319555
2009,8184.38988923991
2008,8977.50685093365
2007,7210.59554755899
2006,5890.97800169795
2005,5086.62776073134
2004,4258.16026060875
2003,3333.15290388997
2002,2579.48876933284
2001,7168.97587232911
2000,7666.51783423783
1999,7735.32208018486
1998,8250.67317414321
1997,8176.77119517435
1996,7690.15700254783
1995,7383.70450960064
1994,7464.4747368819
1993,6957.41749889251
1992,6815.61828975463
1991,5730.72380988423
1990,4330.95944095164
1989,2382.56095118242
1988,3982.4444020235
1987,3559.21895925195
1986,3607.82056111587
1985,2919.28358505293
1984,2651.22954229727
1983,3539.45678157511
1982,2914.91825147004
1981,2763.37518192638
1980,2746.20748417286
1979,2510.58557617376
1978,2139.63793045529
1977,2125.53221974145
1976,1946.32939085275
1975,2026.57070900355
1974,2846.26630742503
1973,2100.03058748674
1972,1411.17666431069
1971,1374.42423270049
1970,1324.68528828362
1969,1331.6397093432
1968,1143.81042781121
1967,1065.89852048502
1966,1277.96841867454
1965,1285.26079940373
1964,1179.50409817873
1963,855.275656468141
1962,1163.18683603872
