label,GDP Per Capita
2021,7507.16097080234
2020,6794.48915877166
2019,8845.25911841876
2018,9121.08340257783
2017,9896.68478335903
2016,8680.76879182018
2015,8783.22598387817
2014,12071.1582132348
2013,12258.5031683848
2012,12327.3174365132
2011,13200.7850823986
2010,11249.464543278
2009,8570.02256200077
2008,8801.59948420962
2007,7323.03362855509
2006,5866.09622382995
2005,4773.24894374558
2004,3623.24799633539
2003,3056.62496707108
2002,2824.679625276
2001,3142.27793491612
2000,3726.81142036099
1999,3456.42359484227
1998,5049.76611943426
1997,5240.12879590406
1996,5121.90540734464
1995,4704.96154593883
1994,3263.56262238902
1993,2324.49977472726
1992,2105.10774751013
1991,2234.36268750579
1990,2592.62716607932
1989,2344.73068725577
1988,1781.81787555997
1987,1667.18756959757
1986,1545.92842461268
1985,1287.61240473129
1984,1406.68979969815
1983,1448.00973115761
1982,2118.56410810781
1981,2061.34995420275
1980,1941.25953805961
1979,1853.01969086922
1978,1716.70772767288
1977,1547.6942060653
1976,1376.3479281208
1975,1188.6195317366
1974,1034.16442979806
1973,806.354512747851
1972,577.451537235053
1971,494.80274991997
1970,439.220916221935
1969,395.441384632115
1968,370.180411753128
1967,348.021102794167
1966,325.173107406638
1965,265.475397633938
1964,254.838581035491
1963,291.404006118712
1962,247.834299715922
1961,229.336766423598
1960,232.998762450445
