label,GDP Per Capita
2021,16265.0959767147
2020,13094.4595313609
2019,14631.9468779229
2018,15795.7084630954
2017,15045.5276791243
2016,13785.6883317516
2015,13569.9478008231
2014,14666.3435315712
2013,15833.2752047998
2012,15406.4929435446
2011,14628.5724573037
2010,12767.7812065383
2009,10182.860471021
2008,10783.1715606341
2007,10461.3654213132
2006,9418.0627175215
2005,7561.8305480446
2004,6185.50633517632
2003,4824.20309753765
2002,4479.15337213406
2001,4606.87847152539
2000,5097.11493718915
1999,4981.15847141422
1998,5467.54118035129
1997,5788.85994826956
1996,5376.10596485802
1995,5094.54828377286
1994,4011.66231072682
1993,3521.67550817062
1992,3335.02663299765
1991,2789.77637280739
1990,2481.76687492952
1989,2276.37690932387
1988,2015.74900655722
1987,1750.63209480314
1986,1509.53260615105
1985,1436.17691606775
1984,1615.32090775033
1983,1699.6565892938
1982,2144.9155653516
1981,2965.37426047676
1980,2531.57326088891
1979,1928.79145039498
1978,1435.65231572389
1977,1272.84141718307
1976,957.15415420975
1975,716.405389705821
1974,1547.86613053865
1973,1633.34490121059
1972,1168.35125864755
1971,1090.11445220707
1970,929.313924085111
1969,867.526266870549
1968,755.105667840742
1967,751.98311676561
1966,771.983408842778
1965,669.998513608101
1964,677.88290577601
1963,654.827122347189
1962,638.250782132792
1961,554.484617281009
1960,504.801137829134
