label,GDP Per Capita
2021,6621.57433601881
2020,6056.34390291445
2019,6955.80995882668
2018,6912.11029696274
2017,6676.28422114802
2016,6163.79102629697
2015,6180.1949572907
2014,6614.93333937211
2013,6697.18526837489
2012,6475.68607048931
2011,5826.83230656078
2010,5047.24930726929
2009,4164.97048299155
2008,4184.88598248749
2007,3572.36358879114
2006,3123.32015935927
2005,2702.23770075461
2004,2393.66589710452
2003,2126.13782387391
2002,2003.97108061855
2001,1925.97942030475
2000,1941.318259717
1999,1911.73501688306
1998,2149.70106301576
1997,2292.39651714831
1996,2218.32174731966
1995,2180.56663897168
1994,1871.3921088991
1993,1481.34098915924
1992,1560.54650443571
1991,1520.67736235824
1990,1194.54830200693
1989,1040.47518952436
1988,730.20976255024
1987,1001.49667931863
1986,754.349926122441
1985,838.059141189298
1984,911.789224472868
1983,920.529712697649
1982,1185.40147707737
1981,1208.12583132504
1980,1036.32138592403
1979,934.047068563553
1978,752.46116035285
1977,901.123908115672
1976,1007.63870651722
1975,1092.97458608442
1974,920.387868980145
1973,749.202246903927
1972,642.956369795013
1971,595.859829713706
1970,548.003234592549
1969,485.926791021382
1968,446.62248899341
1967,497.070955227249
1966,504.090762606588
1965,438.554135330698
1964,380.772527322018
1963,324.040882286717
1962,304.553795386987
1961,276.734899200497
1960,252.836779873622
