label,GDP Per Capita
2021,17313.1883484186
2020,15619.5426555695
2019,17859.9314960921
2018,18825.2838068916
2017,18769.787523012
2016,16766.4252588402
2015,15655.936997552
2014,16875.506193165
2013,17015.1347609149
2012,15206.8726201223
2011,14267.5843060166
2010,12015.7098522638
2009,9467.5341930907
2008,9102.2380807238
2007,7033.05111719873
2006,5893.37628956657
2005,5233.45717058668
2004,4130.1001146777
2003,3638.94139769575
2002,4115.14816064344
2001,6331.16468272657
2000,6932.47355035523
1999,7314.49095052925
1998,7780.69098002223
1997,7386.53723863589
1996,6358.18918334165
1995,6014.91852275368
1994,5478.04046539451
1993,4729.91903783142
1992,4083.47947161771
1991,3574.04608039609
1990,2983.25436515207
1989,2724.09743411286
1988,2668.6666466883
1987,2408.63259860858
1986,1933.4812314229
1985,1564.70792561372
1984,1612.31060604119
1983,1704.57582756064
1982,3080.9806727691
1981,3724.89967940583
1980,3440.71777087917
1979,2441.97451651836
1978,1678.23848294218
1977,1414.30202333707
1976,1268.43376295746
1975,1232.01553582892
1974,1433.35677118481
1973,1397.44103796478
1972,776.090484791666
1971,1000.6295026028
1970,765.911758988321
1969,722.590683226513
1968,578.588982773731
1967,584.850132533011
1966,668.328010597108
1965,705.398552597109
1964,744.879993057601
1963,587.006884949437
1962,659.611696940395
1961,604.176627257854
1960,491.213492970179
